precinct_id,district,representative,party,incumbent_race,margin
552,1,Nancy Mace,Republican,White,0.55
553,1,Nancy Mace,Republican,White,0.55
554,1,Nancy Mace,Republican,White,0.55
555,6,Jim Clyburn,Democrat,Black,0.65
556,6,Jim Clyburn,Democrat,Black,0.65
557,6,Jim Clyburn,Democrat,Black,0.65
558,6,Jim Clyburn,Democrat,Black,0.65
559,6,Jim Clyburn,Democrat,Black,0.65
560,6,Jim Clyburn,Democrat,Black,0.65
561,6,Jim Clyburn,Democrat,Black,0.65
562,6,Jim Clyburn,Democrat,Black,0.65
563,6,Jim Clyburn,Democrat,Black,0.65
564,6,Jim Clyburn,Democrat,Black,0.65
565,6,Jim Clyburn,Democrat,Black,0.65
566,6,Jim Clyburn,Democrat,Black,0.65
567,6,Jim Clyburn,Democrat,Black,0.65
568,6,Jim Clyburn,Democrat,Black,0.65
569,6,Jim Clyburn,Democrat,Black,0.65
570,6,Jim Clyburn,Democrat,Black,0.65
571,6,Jim Clyburn,Democrat,Black,0.65
572,6,Jim Clyburn,Democrat,Black,0.65
573,6,Jim Clyburn,Democrat,Black,0.65
574,6,Jim Clyburn,Democrat,Black,0.65
575,6,Jim Clyburn,Democrat,Black,0.65
576,6,Jim Clyburn,Democrat,Black,0.65
577,6,Jim Clyburn,Democrat,Black,0.65
578,6,Jim Clyburn,Democrat,Black,0.65
579,6,Jim Clyburn,Democrat,Black,0.65
580,6,Jim Clyburn,Democrat,Black,0.65
581,6,Jim Clyburn,Democrat,Black,0.65
582,6,Jim Clyburn,Democrat,Black,0.65
583,6,Jim Clyburn,Democrat,Black,0.65
584,6,Jim Clyburn,Democrat,Black,0.65
585,1,Nancy Mace,Republican,White,0.55
586,6,Jim Clyburn,Democrat,Black,0.65
587,6,Jim Clyburn,Democrat,Black,0.65
588,6,Jim Clyburn,Democrat,Black,0.65
589,6,Jim Clyburn,Democrat,Black,0.65
590,6,Jim Clyburn,Democrat,Black,0.65
591,6,Jim Clyburn,Democrat,Black,0.65
592,6,Jim Clyburn,Democrat,Black,0.65
593,6,Jim Clyburn,Democrat,Black,0.65
594,6,Jim Clyburn,Democrat,Black,0.65
595,6,Jim Clyburn,Democrat,Black,0.65
596,6,Jim Clyburn,Democrat,Black,0.65
597,6,Jim Clyburn,Democrat,Black,0.65
598,6,Jim Clyburn,Democrat,Black,0.65
599,6,Jim Clyburn,Democrat,Black,0.65
600,6,Jim Clyburn,Democrat,Black,0.65
601,6,Jim Clyburn,Democrat,Black,0.65
602,6,Jim Clyburn,Democrat,Black,0.65
603,6,Jim Clyburn,Democrat,Black,0.65
604,6,Jim Clyburn,Democrat,Black,0.65
605,6,Jim Clyburn,Democrat,Black,0.65
606,6,Jim Clyburn,Democrat,Black,0.65
607,6,Jim Clyburn,Democrat,Black,0.65
608,6,Jim Clyburn,Democrat,Black,0.65
